"time","ip","user","rcode","log"
"2025-02-06 20:57:27","0.0.0.0","login server","100","login server started"
"2025-02-06 20:57:28","192.168.2.105","s1","100","charserver - rAthena@192.168.2.105:6121"
"2025-02-06 21:02:57","0.0.0.0","login server","100","login server started"
"2025-02-06 21:02:58","192.168.2.105","s1","100","charserver - rAthena@192.168.2.105:6121"
"2025-02-06 21:03:05","0.0.0.0","login server","100","login server shutdown"
"2025-02-06 21:04:56","0.0.0.0","login server","100","login server started"
"2025-02-06 21:04:58","192.168.2.105","s1","100","charserver - rAthena@192.168.2.105:6121"
"2025-02-06 21:06:08","127.0.0.1","admin","0","Unregistered ID."
"2025-02-06 21:06:11","127.0.0.1","admin","0","Unregistered ID."
"2025-02-06 21:06:56","127.0.0.1","admin","0","Unregistered ID."
"2025-02-06 21:07:17","127.0.0.1","newadmin","100","login ok"
"2025-02-06 21:08:03","127.0.0.1","admin","0","Unregistered ID."
"2025-02-06 21:08:08","127.0.0.1","newadmin","100","login ok"
"2025-02-06 21:16:10","0.0.0.0","login server","100","login server started"
"2025-02-06 21:16:11","192.168.2.105","s1","100","charserver - rAthena@192.168.2.105:6121"
"2025-02-06 21:17:24","127.0.0.1","admin","0","Unregistered ID."
"2025-02-06 21:17:29","127.0.0.1","newadmin","100","login ok"
"2025-02-06 21:21:58","0.0.0.0","login server","100","login server shutdown"
"2025-02-09 15:23:04","0.0.0.0","login server","100","login server started"
"2025-02-09 15:23:05","192.168.2.105","s1","100","charserver - rAthena@192.168.2.105:6121"
"2025-02-09 15:23:33","0.0.0.0","login server","100","login server shutdown"
"2025-02-09 15:30:04","0.0.0.0","login server","100","login server started"
"2025-02-09 15:30:05","192.168.2.105","s1","100","charserver - rAthena@192.168.2.105:6121"
"2025-02-09 15:32:25","127.0.0.1","newadmin","100","login ok"
"2025-02-09 15:39:56","0.0.0.0","login server","100","login server shutdown"
"2025-02-09 15:40:13","0.0.0.0","login server","100","login server started"
"2025-02-09 15:40:14","192.168.2.105","s1","100","charserver - rAthena@192.168.2.105:6121"
"2025-02-09 15:41:42","0.0.0.0","login server","100","login server shutdown"
"2025-02-09 15:42:30","0.0.0.0","login server","100","login server started"
"2025-02-09 15:42:31","192.168.2.105","s1","100","charserver - rAthena@192.168.2.105:6121"
"2025-02-09 15:43:34","127.0.0.1","admin","0","Unregistered ID."
"2025-02-09 15:43:38","127.0.0.1","newadmin","100","login ok"
"2025-02-09 21:43:57","127.0.0.1","newadmin","100","login ok"
"2025-02-09 21:45:48","127.0.0.1","newadmin","100","login ok"
"2025-02-09 21:50:38","127.0.0.1","newadmin","100","login ok"
"2025-02-09 21:56:11","127.0.0.1","admin","100","login ok"
"2025-02-09 21:57:40","127.0.0.1","admin","100","login ok"
"2025-02-09 21:59:22","0.0.0.0","login server","100","login server started"
"2025-02-09 21:59:23","192.168.2.105","s1","100","charserver - rAthena@192.168.2.105:6121"
"2025-02-09 22:00:37","127.0.0.1","admin","100","login ok"
"2025-05-10 19:32:53","0.0.0.0","login server","100","login server started"
"2025-05-10 19:32:54","192.168.1.2","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-05-10 19:34:23","127.0.0.1","charismamamet","100","login ok"
"2025-05-10 19:36:29","127.0.0.1","charismamamet","100","login ok"
"2025-05-10 19:52:38","0.0.0.0","login server","100","login server started"
"2025-05-10 19:52:39","192.168.1.2","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-05-10 19:53:46","127.0.0.1","charismamamet","1","Incorrect Password."
"2025-05-10 19:53:54","127.0.0.1","charismamamet","100","login ok"
"2025-05-10 20:12:16","127.0.0.1","charismamamet","100","login ok"
"2025-05-10 20:40:17","127.0.0.1","charismamamet","100","login ok"
"2025-05-10 20:41:18","127.0.0.1","charismamamet","100","login ok"
"2025-05-10 20:45:21","127.0.0.1","charismamamet","100","login ok"
"2025-05-10 21:12:42","0.0.0.0","login server","100","login server started"
"2025-05-10 21:12:43","192.168.1.2","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-05-10 21:13:49","127.0.0.1","charismamamet","100","login ok"
"2025-05-10 21:24:45","0.0.0.0","login server","100","login server started"
"2025-05-10 21:24:46","192.168.1.2","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-05-10 21:25:47","127.0.0.1","charismamamet","100","login ok"
"2025-05-10 21:29:24","0.0.0.0","login server","100","login server shutdown"
"2025-05-10 21:41:20","0.0.0.0","login server","100","login server started"
"2025-05-10 21:41:21","192.168.1.2","s1","100","charserver - rAthena@192.168.1.2:6121"
"2025-05-10 21:42:18","127.0.0.1","charismamamet","100","login ok"
"2025-05-11 07:41:20","0.0.0.0","login server","100","login server started"
"2025-05-11 07:41:22","192.168.1.6","s1","100","charserver - rAthena@192.168.1.6:6121"
"2025-05-11 07:43:52","127.0.0.1","charismamamet","100","login ok"
"2025-05-11 07:45:02","127.0.0.1","charismamamet","100","login ok"
"2025-05-11 08:04:07","0.0.0.0","login server","100","login server shutdown"
